Date,Item Name,Low Price,Average Price,High Price
19-01-2022,ક્લંજી,2100,2700,2700
19-01-2022,ધાણા,1000,1771,1956
19-01-2022,મરચા સૂકા પટ્ટો,601,2701,3351
19-01-2022,લસણ સુકું,151,251,371
19-01-2022,ડુંગળી લાલ,101,371,451
19-01-2022,અડદ,300,1191,1331
19-01-2022,મઠ,1681,1681,1681
19-01-2022,તુવેર,851,1181,1291
19-01-2022,રાય,1226,1401,1401
19-01-2022,મેથી,951,1151,1291
19-01-2022,તલ - તલી,1200,2121,2231
19-01-2022,ધાણી,1691,1801,1841
19-01-2022,ડુંગળી સફેદ,101,266,316
19-01-2022,જુવાર,521,541,561
19-01-2022,મકાઇ,221,391,391
19-01-2022,મગ,851,1361,1461
19-01-2022,ચણા,821,886,926
19-01-2022,વાલ,400,801,941
19-01-2022,સોયાબીન,1100,1211,1256
19-01-2022,કળથી,726,726,726
19-01-2022,ગોગળી,651,841,986
20-01-2022,કપાસ બી. ટી.,1001,1881,2086
20-01-2022,ઘઉં લોકવન,400,428,446
20-01-2022,ઘઉં ટુકડા,404,440,510
20-01-2022,મગફળી જીણી,800,1051,1176
20-01-2022,મગફળી જાડી જુની,770,1056,1161
20-01-2022,સિંગ ફાડીયા,900,1266,1446
20-01-2022,એરંડા / એરંડી,1021,1196,1246
20-01-2022,જીરૂ,2351,3201,3391
20-01-2022,ક્લંજી,2500,2500,3001
20-01-2022,ધાણા,1000,1771,1916
20-01-2022,મરચા સૂકા પટ્ટો,601,2601,3251
20-01-2022,ડુંગળી લાલ,101,376,471
20-01-2022,અડદ,300,1000,1251
20-01-2022,મઠ,1601,1671,1671
20-01-2022,તુવેર,951,1271,1331
20-01-2022,રાજગરો,651,651,651
20-01-2022,રાય,1451,1471,1471
20-01-2022,મેથી,900,1191,1121
20-01-2022,તલ - તલી,1400,2100,2191
20-01-2022,ઇસબગુલ,2201,2201,2201
20-01-2022,ધાણી,1700,1781,1881
20-01-2022,ડુંગળી સફેદ,121,261,341
20-01-2022,બાજરો,281,281,281
20-01-2022,જુવાર,501,521,601
20-01-2022,મકાઇ,321,411,441
20-01-2022,મગ,900,1261,1441
20-01-2022,ચણા,826,901,976
20-01-2022,વાલ,600,1131,1271
